date,time,simulation,measurement,weather
07.02.2019 18:15,0,24,23.82,2.5
07.02.2019 19:13,3507,9.76541,10.98,3.1
07.02.2019 20:15,7197,9.95558,6.64,-3.6
07.02.2019 21:15,10798,5.01607,5.93,-1.2
07.02.2019 22:15,14399,5.58347,4.65,-1
07.02.2019 23:15,18001,5.21785,4.4,2
08.02.2019 00:15,21602,7.17773,5.58,2
08.02.2019 01:15,25203,6.67159,5.91,0.1
08.02.2019 02:23,29315,4.9733,5.86,-0.8
08.02.2019 03:32,33428,5.48503,5.5,-0.5
08.02.2019 04:40,37541,5.42713,5.22,1
08.02.2019 05:43,41312,6.15706,4.82,1
08.02.2019 06:55,45615,5.63775,4.62,1
08.02.2019 08:07,49918,7.73857,4.76,1
08.02.2019 09:18,54221,9.28342,5.39,1
08.02.2019 11:03,60481,8.7467,7.82,2
08.02.2019 12:03,64083,6.96711,9.04,7
08.02.2019 13:03,67684,10.00562,10.54,8.3
08.02.2019 14:03,71286,11.37457,11.38,9
08.02.2019 15:03,74888,11.90161,12.26,10
08.02.2019 16:07,78764,11.60197,12.41,8
08.02.2019 17:12,82614,9.74886,11.67,7
